Total Household Income,Total Food Expenditure
49522,23827
97434,57013
141374,64682
125416,58935
104856,80308
240532,100918
88541,47271
144933,62651
219725,88309
289209,81236
143873,65871
675150,99972
868494,86909
46085,22962
222240,82475
226865,69971
142100,39199
85120,32116
166435,78521
200964,58523
154202,70391
101694,52464
106470,63550
126625,38019
38705,28197
84385,52803
504867,95171
322879,129648
207719,100117
139081,70517
342609,108947
185280,93152
565672,153736
258627,104727
114663,68239
164084,88755
135722,50817
141884,78568
81872,48240
146783,89926
429800,137105
172899,82033
164182,74370
189727,102282
129234,72789
180377,85195
57233,30923
199637,91110
161632,102109
48222,31478
64085,40826
103720,55418
472470,102551
94969,61307
247660,56605
408653,97646
44817,25731
50965,35455
380846,129649
342002,112869
186116,110133
143730,95949
164337,105448
119965,59070
120538,63910
114822,75578
360960,127727
99940,66114
146466,69383
120917,82227
108502,36334
71396,39355
279350,100340
106898,66755
47686,16559
82793,38910
52797,34942
116614,94817
79259,54303
172861,79773
43148,25161
114129,87341
112786,53904
103667,49812
191385,54630
99492,20117
60546,36360
160510,111002
75805,53836
96612,28744
101626,44204
268709,76609
32506,22370
44084,20968
365206,141975
364693,132606
89102,65461
222823,147331
190203,120795
552323,210081
190778,68359
378009,91593
218643,112342
372816,129753
140054,72108
129040,71601
186513,72854
68046,40134
560099,153590
90826,53351
160600,50578
149837,87412
898533,179868
204474,105629
164193,81644
146403,70930
121540,72645
160490,97812
92939,54602
176368,53315
137568,45234
174926,72529
208303,75255
460199,72894
189391,86907
499684,130117
113775,47429
86971,27880
54082,23384
213946,132992
443168,166275
116219,42339
193055,63565
163960,71337
142538,69360
187504,72641
232900,110088
465311,176244
198887,70223
226378,155580
165233,78695
102007,68279
109636,72825
124165,69835
98803,62660
214820,98604
148353,61994
675630,126577
360064,82232
149524,73403
1431100,315543
396301,141941
222781,51452
168937,108359
413710,135484
275556,114966
650714,120122
182822,96218
299740,58107
188025,102802
200312,48334
688365,162741
139948,65749
91822,47622
138785,60611
458800,62710
164460,76379
213228,78637
111310,58090
66086,35554
113852,57522
146865,68032
140905,45379
80540,74424
131200,57118
149445,71438
145118,50283
207921,79539
212932,84978
315332,100444
290474,136917
201870,90673
260401,111739
180830,82395
65470,41429
459589,179744
142964,90779
116022,65404
89962,57681
67177,26347
86380,33199
114383,46641
30721,16450
125518,61885
138663,81195
430348,143609
177667,75724
137049,68871
741308,106479
1182966,179061
329060,54440
162859,50003
453906,78505
138740,58575
318512,93010
101337,63843
326650,101261
176935,112576
35688,22030
808197,138372
94238,36261
411536,141065
330750,151002
62047,30819
146180,68704
189553,92410
124171,62044
24017,14476
208512,85325
132542,66640
189660,56436
142869,44831
116360,84513
105349,53499
180186,71045
186634,98652
157272,70851
273722,77347
181038,73834
124578,56132
76832,39083
128716,62981
161792,89059
671245,145805
211481,106608
289732,123621
157046,84795
355985,117833
396065,167859
345420,113131
271656,121727
422201,183998
335708,160169
272495,88894
177412,79608
253612,123489
62208,39354
906416,273743
485060,107805
180232,97838
242254,99072
183866,117654
258840,85250
1208286,233836
338429,103304
256873,110717
231580,100252
80726,38277
418648,106345
459048,159201
369460,162505
53924,27868
172361,113504
